metric,kind,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material,rank
adj_explosiveness,adjusted,total,True,1,5778,13.685485304866488,17.294839382374846,0.01920640339442492,-0.00812060758684822,0.16045872147990625,0.032602148088778864,4.921722367586373,True,3.0
adj_def_epa,adjusted,total,True,1,5778,13.692864847989503,17.29011749478591,0.019741888552425646,0.011025537986138007,0.1530791783568911,0.033818364358459384,4.526510411157706,True,4.0
adj_def_success_rate,adjusted,total,True,1,5778,13.717351939012676,17.332287435168798,0.014954432788888083,-0.02054987301870416,0.12859208733371796,0.02946610927089104,4.364067415603845,True,5.0
off_epa,raw,total,True,1,5778,13.717386888172449,17.32393268831351,0.01590385425027252,0.023159009775494954,0.1285571381739426,0.03162784201444102,4.064682570351921,True,6.0
explosiveness,raw,total,True,1,5778,13.721859425271399,17.34823725881211,0.013140646558670754,0.027730495407414846,0.12408460107499136,0.028333854169807472,4.379376004808262,True,7.0
adj_def_finishing_drives,adjusted,total,True,1,5778,13.728511833219649,17.30739802271867,0.01778148051325379,-0.019433771614190156,0.1174321931267442,0.03371238285366875,3.483354873978142,True,8.0
def_epa,raw,total,True,1,5778,13.744167294667113,17.36923375739074,0.010750417542938262,0.018518044824704493,0.10177673167928235,0.027323986677482093,3.7248126666361365,True,9.0
success_rate,raw,total,True,1,5778,13.763494752476175,17.373762786736638,0.01023445643877674,0.0226580176740864,0.08244927387021896,0.026230776626555093,3.1432265633626066,True,10.0
def_success_rate,raw,total,True,1,5778,13.7667587508105,17.397861825844174,0.007486756750234691,0.02081571418752229,0.07918527553589237,0.023117847148443744,3.425287615556494,True,11.0
finishing_drives,raw,total,True,1,5778,13.787044862068218,17.412472882558045,0.005818993571032327,0.03260606935238297,0.058899164278176985,0.023725096454242322,2.4825679588605056,True,12.0
adj_off_epa,adjusted,total,True,1,5778,13.788656800901197,17.40301985120059,0.006898159437072171,0.05501334952052336,0.05728722544519666,0.028349700245927006,2.0207347854913245,True,13.0
adj_finishing_drives,adjusted,total,True,1,5778,13.797566145388998,17.402628000702425,0.006942880763969872,0.05160163648251699,0.04837788095739479,0.023977738505825505,2.0176165048109582,True,14.0
def_explosiveness,raw,total,True,1,5778,13.799585863853475,17.3905548630477,0.008320276923113323,0.03424042322454301,0.04635816249291707,0.02363300340473644,1.961585740880744,False,15.0
adj_def_explosiveness,adjusted,total,True,1,5778,13.818182123334275,17.41466040635975,0.005569180550350383,0.009816664704206416,0.02776190301211797,0.02035512162819366,1.3638780214246058,False,16.0
adj_success_rate,adjusted,total,True,1,5778,13.82447147383278,17.450296788464982,0.0014951216928558164,0.05470781127175736,0.021472552513612905,0.021194083516564037,1.0131389968729354,False,17.0
adj_def_pace,adjusted,total,True,1,5778,13.828555150406773,17.458790264932016,0.0005228927746273593,-0.03077803375397648,0.017388875939617958,0.013322888492201276,1.3051881316725544,False,18.0
havoc,raw,total,True,1,5778,13.847255726175197,17.477867971402684,-0.0016626136100235112,0.013030878678348254,-0.0013116998288038124,0.005090121463116561,-0.2576951922087709,False,19.0
adj_havoc,adjusted,total,True,1,5778,13.849548043211827,17.488652323327386,-0.002899104790011986,-0.011093578824566179,-0.0036040168654355668,0.001885472042677876,-1.9114666162415732,False,20.0
adj_havoc_allowed,adjusted,total,True,1,5778,13.853340229955307,17.497616997012,-0.003927539383063117,-0.08479626788801103,-0.007396203608915193,0.0028260881647175174,-2.6171170812197513,False,21.0
