sport,game_id,kickoff,model,home_margin,home_win_prob,as_of,fetched_at,detail
ncaaf,401856881,2026-09-26T23:00Z,elo,8.183,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1408 home, 1274 away"
ncaaf,401856881,2026-09-26T23:00Z,fpi,2.917,0.585,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856881,2026-09-26T23:00Z,sp_plus,-2.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 3.8 home, 8.7 away"
ncaaf,401862784,2026-09-26T23:00Z,elo,14.933,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1520 home, 1224 away"
ncaaf,401862784,2026-09-26T23:00Z,fpi,15.228,0.857,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401862784,2026-09-26T23:00Z,sp_plus,16.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -5.6 home, -19.1 away"
ncaaf,401869931,2026-09-26T23:00Z,elo,4.017,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1319 home, 1285 away"
ncaaf,401869931,2026-09-26T23:00Z,fpi,3.114,0.590,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401869931,2026-09-26T23:00Z,sp_plus,5.500,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -9.5 home, -12.5 away"
ncaaf,401870745,2026-09-26T23:00Z,fpi,26.689,0.958,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401871048,2026-09-26T23:00Z,elo,7.975,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1427 home, 1298 away"
ncaaf,401871048,2026-09-26T23:00Z,fpi,6.646,0.686,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401871048,2026-09-26T23:00Z,sp_plus,18.200,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -3.2 home, -18.9 away"
ncaaf,401856702,2026-09-26T23:30Z,elo,1.017,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1786 home, 1824 away"
ncaaf,401856702,2026-09-26T23:30Z,fpi,4.501,0.629,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856702,2026-09-26T23:30Z,sp_plus,4.500,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 20.3 home, 18.3 away"
ncaaf,401856804,2026-09-26T23:30Z,elo,-1.608,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1533 home, 1634 away"
ncaaf,401856804,2026-09-26T23:30Z,fpi,-10.483,0.226,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856804,2026-09-26T23:30Z,sp_plus,-12.900,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -5.6 home, 9.8 away"
ncaaf,401858469,2026-09-26T23:30Z,elo,2.850,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1817 home, 1811 away"
ncaaf,401858469,2026-09-26T23:30Z,fpi,-1.092,0.468,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858469,2026-09-26T23:30Z,sp_plus,-0.300,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 21.6 home, 24.4 away"
ncaaf,401860894,2026-09-26T23:30Z,elo,-0.442,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1348 home, 1421 away"
ncaaf,401860894,2026-09-26T23:30Z,fpi,0.790,0.523,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401860894,2026-09-26T23:30Z,sp_plus,-0.600,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -9.3 home, -6.2 away"
ncaaf,401862783,2026-09-26T23:30Z,fpi,28.068,0.964,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864572,2026-09-26T23:30Z,elo,10.350,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1510 home, 1324 away"
ncaaf,401864572,2026-09-26T23:30Z,fpi,9.387,0.750,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864572,2026-09-26T23:30Z,sp_plus,13.800,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 5.0 home, -6.3 away"
ncaaf,401856703,2026-09-26T23:45Z,elo,1.475,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1663 home, 1690 away"
ncaaf,401856703,2026-09-26T23:45Z,fpi,6.202,0.674,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856703,2026-09-26T23:45Z,sp_plus,-0.500,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 12.0 home, 15.0 away"
ncaaf,401856697,2026-09-27T00:00Z,elo,10.725,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1466 home, 1271 away"
ncaaf,401856697,2026-09-27T00:00Z,fpi,1.404,0.541,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856697,2026-09-27T00:00Z,sp_plus,3.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -0.3 home, -1.2 away"
ncaaf,401862782,2026-09-27T00:00Z,elo,-4.233,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1079 home, 1243 away"
ncaaf,401862782,2026-09-27T00:00Z,fpi,-9.369,0.250,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401862782,2026-09-27T00:00Z,sp_plus,-18.100,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -28.0 home, -7.4 away"
ncaaf,401858241,2026-09-27T01:00Z,elo,20.308,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1706 home, 1281 away"
ncaaf,401858241,2026-09-27T01:00Z,fpi,29.369,0.969,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858241,2026-09-27T01:00Z,sp_plus,31.900,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 12.0 home, -17.4 away"
ncaaf,401860895,2026-09-27T01:00Z,elo,-3.858,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1130 home, 1285 away"
ncaaf,401860895,2026-09-27T01:00Z,fpi,-13.580,0.169,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401860895,2026-09-27T01:00Z,sp_plus,-14.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -19.7 home, -2.5 away"
ncaaf,401866429,2026-09-27T01:00Z,elo,11.808,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1297 home, 1076 away"
ncaaf,401866429,2026-09-27T01:00Z,fpi,-9.819,0.240,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401866429,2026-09-27T01:00Z,sp_plus,1.500,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -20.9 home, -19.9 away"
ncaaf,401860891,2026-09-27T02:00Z,elo,21.308,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1611 home, 1162 away"
ncaaf,401860891,2026-09-27T02:00Z,fpi,17.358,0.885,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401860891,2026-09-27T02:00Z,sp_plus,17.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -0.4 home, -14.9 away"
ncaaf,401858240,2026-09-27T02:30Z,elo,-5.900,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1311 home, 1515 away"
ncaaf,401858240,2026-09-27T02:30Z,fpi,-6.517,0.318,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
