signal_id,created_at,run_id,game_id,season,week,market,book,open_line,entry_line,entry_price,atlas_number,disagreement,direction,selection,model_version
68384b7e-f7d0-5b8a-abb1-acf812106042,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858464,2026,4,total,DraftKings,52.500,48.500,-112.000,52.254,3.754,over,observed,64a8b2aa5365
d624d8c7-40c3-52ad-bee3-278df0c4d6db,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858465,2026,4,margin,DraftKings,27.500,27.500,-108.000,23.202,-4.298,away,observed,73d507ab32ad
451234e5-a493-56fa-952e-e906da1acf90,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858465,2026,4,total,DraftKings,54.500,53.500,-115.000,52.492,-1.008,under,observed,64a8b2aa5365
8ff3a12a-fe3c-5498-af6c-7df17f839c9f,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858466,2026,4,margin,DraftKings,11.500,9.500,-112.000,22.179,12.679,home,observed,73d507ab32ad
70dde419-145e-5ff1-bbc3-fcb1c01e5609,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858466,2026,4,total,DraftKings,42.500,44.500,-112.000,44.844,0.344,over,observed,64a8b2aa5365
0041e880-41bb-51d4-a16b-db879f7975c6,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858467,2026,4,margin,DraftKings,-27.500,-27.500,-102.000,-16.429,11.071,home,observed,73d507ab32ad
e2b523b0-fb6f-5018-981c-5e5aa0da1dda,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858467,2026,4,total,DraftKings,56.500,57.500,-112.000,58.828,1.328,over,observed,64a8b2aa5365
610a2852-ebaa-530c-acc8-087d4c7f0b3e,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858469,2026,4,margin,DraftKings,-5.500,-3.000,-108.000,-4.898,-1.898,away,observed,73d507ab32ad
90e58eee-d665-5382-8773-8a8e632faadc,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858469,2026,4,total,DraftKings,58.500,62.500,-108.000,57.202,-5.298,under,observed,64a8b2aa5365
b62fc13c-17a2-542d-ae1f-3059631a263c,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858470,2026,4,margin,DraftKings,9.500,10.000,-108.000,18.289,8.289,home,observed,73d507ab32ad
c4bd1eee-2b51-5322-a0be-febe7ab23177,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858470,2026,4,total,DraftKings,44.500,46.500,-108.000,52.142,5.642,over,observed,64a8b2aa5365
d1c3c021-7523-5153-8dbd-91f127c574b2,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860891,2026,4,margin,DraftKings,13.500,13.500,-115.000,7.196,-6.304,away,observed,73d507ab32ad
f583485a-3887-51f4-bd87-e305b3521237,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860891,2026,4,total,DraftKings,43.500,44.500,-105.000,43.696,-0.804,under,observed,64a8b2aa5365
bc548506-39d1-5bd1-ad9d-f240842c11db,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860893,2026,4,margin,DraftKings,-1.500,3.000,-110.000,14.468,11.468,home,observed,73d507ab32ad
ad0aab18-3c7d-5baf-9b11-a18a1995c17b,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860893,2026,4,total,DraftKings,48.500,52.500,-105.000,50.104,-2.396,under,observed,64a8b2aa5365
66cb4a9b-28dc-5886-8392-976552a36543,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860894,2026,4,margin,DraftKings,2.500,3.000,-112.000,9.356,6.356,home,observed,73d507ab32ad
5d212983-b271-5728-9c5c-a3681daeb80e,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860894,2026,4,total,DraftKings,52.500,48.500,-105.000,48.904,0.404,over,observed,64a8b2aa5365
e587d062-0be4-53cc-8b56-6ab88d3d2b02,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860895,2026,4,margin,DraftKings,-12.500,-10.500,-112.000,-9.269,1.231,home,observed,73d507ab32ad
e5ccd425-4359-5027-95c0-ad335edcfbd5,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860895,2026,4,total,DraftKings,55.500,55.500,-108.000,53.102,-2.398,under,observed,64a8b2aa5365
1f78c462-694b-514c-abda-f3f3b6f5801f,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860896,2026,4,margin,DraftKings,11.500,13.500,-108.000,26.867,13.367,home,observed,73d507ab32ad
deecc295-adbf-5406-87f4-2374cfb73c4f,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860896,2026,4,total,DraftKings,57.500,58.500,-110.000,59.358,0.858,over,observed,64a8b2aa5365
